log_path,model_name,mode,db_type,source_domain,target_domain,shot,em,em_type,correct,total
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProofWriter/shot4.log,qwen14,RAG,embedding,FOLIO,ProofWriter,4.0,0.7083333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProofWriter/shot2.log,qwen14,RAG,embedding,FOLIO,ProofWriter,2.0,0.6816666666666666,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProofWriter/shot3.log,qwen14,RAG,embedding,FOLIO,ProofWriter,3.0,0.6916666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProofWriter/shot1.log,qwen14,RAG,embedding,FOLIO,ProofWriter,1.0,0.6766666666666666,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__FOLIO/shot4.log,qwen14,RAG,embedding,gsm8k,FOLIO,4.0,0.7107843137254902,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__FOLIO/shot2.log,qwen14,RAG,embedding,gsm8k,FOLIO,2.0,0.696078431372549,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__FOLIO/shot3.log,qwen14,RAG,embedding,gsm8k,FOLIO,3.0,0.7107843137254902,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__FOLIO/shot1.log,qwen14,RAG,embedding,gsm8k,FOLIO,1.0,0.696078431372549,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProntoQA/shot4.log,qwen14,RAG,embedding,FOLIO,ProntoQA,4.0,0.98,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProntoQA/shot2.log,qwen14,RAG,embedding,FOLIO,ProntoQA,2.0,0.976,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProntoQA/shot3.log,qwen14,RAG,embedding,FOLIO,ProntoQA,3.0,0.974,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__ProntoQA/shot1.log,qwen14,RAG,embedding,FOLIO,ProntoQA,1.0,0.978,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProntoQA/shot4.log,qwen14,RAG,embedding,gsm8k,ProntoQA,4.0,0.902,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProntoQA/shot2.log,qwen14,RAG,embedding,gsm8k,ProntoQA,2.0,0.922,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProntoQA/shot3.log,qwen14,RAG,embedding,gsm8k,ProntoQA,3.0,0.886,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProntoQA/shot1.log,qwen14,RAG,embedding,gsm8k,ProntoQA,1.0,0.942,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProofWriter__gsm8k/shot4.log,qwen14,RAG,embedding,ProofWriter,gsm8k,4.0,0.9303,gsm8k_exact_match,1227.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProofWriter__gsm8k/shot2.log,qwen14,RAG,embedding,ProofWriter,gsm8k,2.0,0.9287000000000001,gsm8k_exact_match,1225.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProofWriter__gsm8k/shot3.log,qwen14,RAG,embedding,ProofWriter,gsm8k,3.0,0.9393,gsm8k_exact_match,1239.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProofWriter__gsm8k/shot1.log,qwen14,RAG,embedding,ProofWriter,gsm8k,1.0,0.9287000000000001,gsm8k_exact_match,1225.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProofWriter/shot4.log,qwen14,RAG,embedding,gsm8k,ProofWriter,4.0,0.6033333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProofWriter/shot2.log,qwen14,RAG,embedding,gsm8k,ProofWriter,2.0,0.6066666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProofWriter/shot3.log,qwen14,RAG,embedding,gsm8k,ProofWriter,3.0,0.6,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__ProofWriter/shot1.log,qwen14,RAG,embedding,gsm8k,ProofWriter,1.0,0.65,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__gsm8k/shot4.log,qwen14,RAG,embedding,FOLIO,gsm8k,4.0,0.9318000000000001,gsm8k_exact_match,1229.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__gsm8k/shot2.log,qwen14,RAG,embedding,FOLIO,gsm8k,2.0,0.9279999999999999,gsm8k_exact_match,1224.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__gsm8k/shot3.log,qwen14,RAG,embedding,FOLIO,gsm8k,3.0,0.9333,gsm8k_exact_match,1231.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__gsm8k/shot1.log,qwen14,RAG,embedding,FOLIO,gsm8k,1.0,0.9272,gsm8k_exact_match,1223.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__AR-LSAT/shot4.log,qwen14,RAG,embedding,ProntoQA,AR-LSAT,4.0,0.30869565217391304,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__AR-LSAT/shot2.log,qwen14,RAG,embedding,ProntoQA,AR-LSAT,2.0,0.3173913043478261,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__AR-LSAT/shot3.log,qwen14,RAG,embedding,ProntoQA,AR-LSAT,3.0,0.3,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__AR-LSAT/shot1.log,qwen14,RAG,embedding,ProntoQA,AR-LSAT,1.0,0.3130434782608696,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__AR-LSAT/shot4.log,qwen14,RAG,embedding,LogicalDeduction,AR-LSAT,4.0,0.3130434782608696,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__AR-LSAT/shot2.log,qwen14,RAG,embedding,LogicalDeduction,AR-LSAT,2.0,0.32608695652173914,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__AR-LSAT/shot3.log,qwen14,RAG,embedding,LogicalDeduction,AR-LSAT,3.0,0.28695652173913044,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__AR-LSAT/shot1.log,qwen14,RAG,embedding,LogicalDeduction,AR-LSAT,1.0,0.27391304347826084,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProofWriter__ProntoQA/shot2.log,qwen14,RAG,embedding,ProofWriter,ProntoQA,2.0,0.98,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProofWriter__ProntoQA/shot3.log,qwen14,RAG,embedding,ProofWriter,ProntoQA,3.0,0.978,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProofWriter__ProntoQA/shot1.log,qwen14,RAG,embedding,ProofWriter,ProntoQA,1.0,0.972,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__gsm8k/shot4.log,qwen14,RAG,embedding,LogicalDeduction,gsm8k,4.0,0.9265000000000001,gsm8k_exact_match,1222.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__gsm8k/shot2.log,qwen14,RAG,embedding,LogicalDeduction,gsm8k,2.0,0.9257,gsm8k_exact_match,1221.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__gsm8k/shot3.log,qwen14,RAG,embedding,LogicalDeduction,gsm8k,3.0,0.9279999999999999,gsm8k_exact_match,1224.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__gsm8k/shot1.log,qwen14,RAG,embedding,LogicalDeduction,gsm8k,1.0,0.9272,gsm8k_exact_match,1223.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot4.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,4.0,0.97,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot2.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,2.0,0.958,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot3.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,3.0,0.968,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProntoQA/shot1.log,qwen14,RAG,embedding,LogicalDeduction,ProntoQA,1.0,0.976,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot4.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,4.0,0.7066666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot2.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,2.0,0.7083333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot3.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,3.0,0.7133333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__ProofWriter/shot1.log,qwen14,RAG,embedding,LogicalDeduction,ProofWriter,1.0,0.6683333333333333,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot4.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,4.0,0.7183333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot2.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,2.0,0.7116666666666667,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot3.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,3.0,0.7033333333333334,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__ProofWriter/shot1.log,qwen14,RAG,embedding,ProntoQA,ProofWriter,1.0,0.71,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot4.log,qwen14,RAG,embedding,ProntoQA,gsm8k,4.0,0.9303,gsm8k_exact_match,1227.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot2.log,qwen14,RAG,embedding,ProntoQA,gsm8k,2.0,0.9257,gsm8k_exact_match,1221.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot3.log,qwen14,RAG,embedding,ProntoQA,gsm8k,3.0,0.9272,gsm8k_exact_match,1223.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__gsm8k/shot1.log,qwen14,RAG,embedding,ProntoQA,gsm8k,1.0,0.9257,gsm8k_exact_match,1221.0,1319.0
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot4.log,qwen14,RAG,embedding,ProntoQA,FOLIO,4.0,0.7205882352941176,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot2.log,qwen14,RAG,embedding,ProntoQA,FOLIO,2.0,0.7598039215686274,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot3.log,qwen14,RAG,embedding,ProntoQA,FOLIO,3.0,0.7352941176470589,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/ProntoQA__FOLIO/shot1.log,qwen14,RAG,embedding,ProntoQA,FOLIO,1.0,0.75,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot4.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,4.0,0.30869565217391304,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot2.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,2.0,0.3173913043478261,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot3.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,3.0,0.30434782608695654,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/gsm8k__AR-LSAT/shot1.log,qwen14,RAG,embedding,gsm8k,AR-LSAT,1.0,0.30434782608695654,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot4.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,4.0,0.3391304347826087,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot2.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,2.0,0.34347826086956523,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot3.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,3.0,0.34347826086956523,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/FOLIO__AR-LSAT/shot1.log,qwen14,RAG,embedding,FOLIO,AR-LSAT,1.0,0.2826086956521739,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot4.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,4.0,0.75,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot2.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,2.0,0.75,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot3.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,3.0,0.7450980392156863,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_embedding/LogicalDeduction__FOLIO/shot1.log,qwen14,RAG,embedding,LogicalDeduction,FOLIO,1.0,0.7303921568627451,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen14/RAG_bm25/gsm8k__ProntoQA/shot1.log,qwen14,RAG,bm25,gsm8k,ProntoQA,1.0,0.928,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot4.log,qwen7,RAG,embedding,FOLIO,ProofWriter,4.0,0.6183333333333333,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot2.log,qwen7,RAG,embedding,FOLIO,ProofWriter,2.0,0.615,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot3.log,qwen7,RAG,embedding,FOLIO,ProofWriter,3.0,0.615,em_generic,,
/code/Logic-LLM-main/baselines/logs/qwen7/RAG_embedding/FOLIO__ProofWriter/shot1.log,qwen7,RAG,embedding,FOLIO,ProofWriter,1.0,0.6333333333333333,em_generic,,
